Unnamed: 0,keyword_text,category,intent_level,avg_daily_searches,keyword_id,competition_score,avg_competitor_bid,floor_bid,top_of_page_bid,historical_ctr,impressions_won,keyword_score,avg_competitor_bid_cpm,floor_bid_cpm,suggested_bid_cpm,top_of_page_bid_cpm
23,maaza mango,Beverages,branded,1500,KW_024,0.84,6.72,2.02,10.08,0.0564,243,0.2405,100.8,30.3,110.88,151.2
24,red bull,Beverages,branded,2500,KW_025,0.85,11.23,3.37,16.84,0.0624,336,0.3136,168.45,50.55,185.3,252.6
25,butter,Dairy,generic,7000,KW_026,0.68,4.73,1.42,7.1,0.0302,1875,0.2851,70.95,21.3,78.05,106.5
26,paneer,Dairy,generic,11667,KW_027,0.62,3.25,0.98,4.88,0.0322,5138,0.5856,48.75,14.7,53.63,73.2
27,curd online,Dairy,generic,3000,KW_028,0.65,3.66,1.1,5.49,0.034,1218,0.1725,54.9,16.5,60.39,82.35
28,cooking oil,Dairy,generic,8000,KW_029,0.66,5.13,1.54,7.7,0.0306,2865,0.3638,76.95,23.1,84.65,115.5
29,cheese slices,Dairy,generic,1500,KW_030,0.6,4.62,1.39,6.93,0.0367,561,0.1187,69.3,20.85,76.23,103.95
30,amul butter,Dairy,branded,6000,KW_031,0.86,7.65,2.3,11.48,0.0626,789,0.4307,114.75,34.5,126.22,172.2
31,amul cheese,Dairy,branded,2500,KW_032,0.82,7.46,2.24,11.19,0.0555,491,0.2731,111.9,33.6,123.09,167.85
32,mother dairy curd,Dairy,branded,1500,KW_033,0.81,6.28,1.88,9.42,0.058,330,0.256,94.2,28.2,103.62,141.3
33,fortune oil,Dairy,branded,2500,KW_034,0.89,9.77,2.93,14.66,0.056,318,0.268,146.55,43.95,161.2,219.9
34,nestle milkmaid,Dairy,branded,1000,KW_035,0.9,7.94,2.38,11.91,0.0558,111,0.2164,119.1,35.7,131.01,178.65
35,chocolate bar,Confectionery,generic,5000,KW_036,0.68,8.24,2.47,12.36,0.0274,1691,0.2032,123.6,37.05,135.96,185.4
36,wafer chocolate,Confectionery,long_tail,667,KW_037,0.28,8.43,2.53,12.64,0.0491,400,0.1751,126.45,37.95,139.1,189.6
37,candy,Confectionery,generic,3000,KW_038,0.61,6.52,1.96,9.78,0.032,1012,0.1483,97.8,29.4,107.58,146.7
38,toffee,Confectionery,generic,2000,KW_039,0.67,5.12,1.54,7.68,0.0275,765,0.0779,76.8,23.1,84.48,115.2
39,low calorie snacks,Confectionery,long_tail,500,KW_040,0.29,7.54,2.26,11.31,0.0458,370,0.1461,113.1,33.9,124.41,169.65
40,kitkat,Confectionery,branded,3667,KW_041,0.81,17.99,5.4,26.98,0.0621,560,0.3537,269.85,81.0,296.83,404.7
41,dairy milk,Confectionery,branded,7333,KW_042,0.85,16.05,4.82,24.08,0.0554,925,0.4227,240.75,72.3,264.83,361.2
42,munch chocolate,Confectionery,branded,2000,KW_043,0.8,9.86,2.96,14.79,0.0544,426,0.2489,147.9,44.4,162.69,221.85
43,oreo biscuits,Confectionery,branded,4333,KW_044,0.89,11.05,3.32,16.58,0.0579,382,0.3333,165.75,49.8,182.32,248.7
44,5 star chocolate,Confectionery,branded,1500,KW_045,0.83,8.22,2.47,12.33,0.0629,220,0.2847,123.3,37.05,135.63,184.95
45,bathing soap,Personal Care,generic,4333,KW_046,0.67,6.06,1.82,9.09,0.0294,1458,0.1878,90.9,27.3,99.99,136.35
46,shampoo,Personal Care,generic,9333,KW_047,0.63,10.27,3.08,15.4,0.0337,3718,0.4633,154.05,46.2,169.46,231.0
47,detergent powder,Personal Care,generic,5333,KW_048,0.65,8.63,2.59,12.94,0.0346,1980,0.2767,129.45,38.85,142.4,194.1
48,anti dandruff shampoo,Personal Care,long_tail,1500,KW_049,0.3,9.02,2.71,13.53,0.0454,934,0.198,135.3,40.65,148.83,202.95
49,baby soap,Personal Care,long_tail,1000,KW_050,0.27,9.82,2.95,14.73,0.0503,792,0.2119,147.3,44.25,162.03,220.95
50,dove soap,Personal Care,branded,3167,KW_051,0.9,12.5,3.75,18.75,0.0567,283,0.2889,187.5,56.25,206.25,281.25
51,pantene shampoo,Personal Care,branded,2833,KW_052,0.88,14.82,4.45,22.23,0.0593,316,0.2998,222.3,66.75,244.53,333.45
52,surf excel,Personal Care,branded,4667,KW_053,0.89,17.51,5.25,26.26,0.0593,564,0.361,262.65,78.75,288.92,393.9
53,ariel detergent,Personal Care,branded,2333,KW_054,0.89,13.46,4.04,20.19,0.0584,272,0.2781,201.9,60.6,222.09,302.85
54,head and shoulders,Personal Care,branded,2000,KW_055,0.86,12.15,3.64,18.23,0.0539,319,0.2401,182.25,54.6,200.48,273.45
